Name / Summary,X Post URL,Post ID,Value Score,Categories,Tags,Extracted Content,Author,Date Posted,Promoted,Vault Added Date,Key Best Practices
"Nav Toor - 10 GitHub repos for production AI engineering",https://x.com/heynavtoor/status/2047942872994029682,2047942872994029682,86,"AIEngineering,JobPreparation","#AIEngineering #GitHubRepos #90DayPlan #ProductionAI","10 battle-tested repos (LangGraph, CrewAI, Qdrant, Ollama, etc.) for landing AI engineering roles","heynavtoor",2026-04-25,FALSE,2026-05-25,"Build 3-5 production-style portfolio apps; prioritize LangGraph + CrewAI + Qdrant"
"Suryanshti777 - 10 Andrew Ng-style structured prompts",https://x.com/Suryanshti777/status/2047737762103890328,2047737762103890328,95,"PromptEngineering","#PromptEngineering #StructuredPrompts #AndrewNg","10 Andrew Ng-style structured prompts for complex tasks","Suryanshti777",2026-04-25,FALSE,2026-05-25,"Problem selection, architecture, pre-mortem, data strategy, iteration loops"
"JJ Englert - Building & governing Claude Cowork skills at org scale",https://x.com/JJEnglert/status/2047764744845615608,2047764744845615608,91,"AgentGovernance","#ClaudeCoworker #EnterpriseAI #Governance","Building & governing Claude Cowork skills at org scale","JJEnglert",2026-04-25,FALSE,2026-05-25,"Skill packaging, versioning, validation, connectors, governance"
"Om Patel - Karpathy-inspired CLAUDE.md file",https://x.com/om_patel5/status/2047550325624594667,2047550325624594667,84,"ClaudeWorkflows","#CLAUDE.md #KarpathyPrinciples","Karpathy-inspired CLAUDE.md file with behavioral guidelines","om_patel5",2026-04-25,FALSE,2026-05-25,"Think before coding, simplicity first, surgical changes, goal-driven execution"
"Josh Medeski - Link to CLAUDE.md repo",https://x.com/joshmedeski/status/2047724150635065771,2047724150635065771,38,"ClaudeWorkflows","#CLAUDE.md","Link to CLAUDE.md repo","joshmedeski",2026-04-25,FALSE,2026-05-25,"Pointer post with minimal original content"
"Guri Singh - JSON Prompting technique",https://x.com/heygurisingh/status/2047255410651132306,2047255410651132306,79,"PromptEngineering","#JSONPrompting #StructuredOutput","JSON Prompting technique for reliable AI output","heygurisingh",2026-04-25,FALSE,2026-05-25,"Shift to structured, code-like prompting"
"Zephyr - 5-word prompting framework",https://x.com/Zephyr_hg/status/2047208935854080319,2047208935854080319,68,"PromptEngineering","#5WordFramework","5-word prompting framework (Role/Task/Context/Format/Tone)","Zephyr_hg",2026-04-25,FALSE,2026-05-25,"Foundational quick-win prompting checklist"
"Nav Toor - 12 education prompts for kids",https://x.com/heynavtoor/status/2047279221912084908,2047279221912084908,52,"PromptEngineering","#EducationPrompts","12 education prompts for kids","heynavtoor",2026-04-25,FALSE,2026-05-25,"High-quality prompts but low relevance to personal projects"
"DataChaz - NVIDIA NIM free API to 80+ models",https://x.com/DataChaz/status/2047377809103032323,2047377809103032323,82,"Tooling","#NIM #LocalModels #MultiModel","NVIDIA NIM free API to 80+ models","DataChaz",2026-04-25,FALSE,2026-05-25,"Cost-effective local prototyping of multiple models"
"AuroraMar1eL - Claude best practices thread",https://x.com/AuroraMar1eL/status/2047271090683363761,2047271090683363761,88,"ClaudeWorkflows","#ClaudeBestPractices","Claude best practices thread","AuroraMar1eL",2026-04-25,FALSE,2026-05-25,"Practical Claude usage tips"
